Brand,Year,Mileage,Transmission,Horsepower,Condition,Color,Price
Volkswagen Golf,2021,47268,Manual,175,Salvage,Black,14577
Volkswagen Golf,2024,9150,Manual,224,Repaired,Black,31890
Toyota Corolla,2015,139740,Manual,284,Salvage,Black,3875
Ford Focus,2023,17916,Automatic,204,Salvage,White,15597
Fiat Tipo,2019,79926,Manual,119,Minor Scratches,Blue,13581
Toyota Corolla,2016,84654,Automatic,216,Clean Title,Blue,15944
Toyota Corolla,2021,39080,Automatic,153,Minor Scratches,Black,24770
Fiat Tipo,2017,101208,Automatic,215,Repaired,White,9560
Toyota Corolla,2021,38476,Manual,117,Minor Scratches,Gray,24493
Ford Focus,2018,76083,Manual,165,Salvage,Gray,9094
Tesla Model 3,2023,23600,Automatic,290,Clean Title,Black,59393
Tesla Model 3,2022,35082,Automatic,272,Clean Title,White,55822
Fiat Tipo,2018,60480,Manual,196,Repaired,Black,12472
Toyota Corolla,2022,43332,Manual,101,Salvage,Blue,14561
Volkswagen Golf,2018,82719,Automatic,151,Repaired,Gray,18083
Fiat Tipo,2019,49770,Automatic,172,Clean Title,White,18401
Tesla Model 3,2024,10802,Manual,144,Salvage,Gray,32015
Tesla Model 3,2021,49556,Manual,122,Salvage,Gray,26000
BMW 3 Series,2020,61765,Manual,220,Clean Title,Black,51591
Volkswagen Golf,2023,27450,Manual,261,Clean Title,Blue,36815
Ford Focus,2015,102030,Manual,139,Minor Scratches,Black,9358
Fiat Tipo,2023,17922,Manual,255,Salvage,Gray,13432
Volkswagen Golf,2017,83672,Manual,188,Salvage,Gray,9920
Ford Focus,2015,142600,Automatic,210,Minor Scratches,Blue,7499
Tesla Model 3,2020,41680,Automatic,251,Clean Title,Red,52103
Tesla Model 3,2023,17030,Manual,110,Salvage,White,29777
Ford Focus,2022,34905,Automatic,171,Minor Scratches,White,25742
Honda Civic,2017,92376,Manual,243,Clean Title,White,18733
BMW 3 Series,2016,121473,Automatic,295,Salvage,White,19577
Toyota Corolla,2021,43300,Manual,114,Minor Scratches,Black,23719
BMW 3 Series,2018,104279,Manual,119,Repaired,Black,34295
Honda Civic,2018,75845,Automatic,173,Minor Scratches,Gray,21318
Fiat Tipo,2020,60325,Automatic,249,Repaired,Black,14958
BMW 3 Series,2022,44826,Manual,214,Repaired,Red,50426
Tesla Model 3,2015,113340,Automatic,117,Repaired,Gray,24880
BMW 3 Series,2023,28988,Automatic,287,Minor Scratches,Black,59956
BMW 3 Series,2015,99630,Manual,264,Repaired,Red,29202
Honda Civic,2016,111168,Manual,158,Clean Title,Red,15031
Volkswagen Golf,2023,17184,Manual,146,Repaired,Red,29242
BMW 3 Series,2018,96810,Manual,250,Minor Scratches,Red,40378
Honda Civic,2024,8013,Manual,113,Clean Title,Red,38266
Toyota Corolla,2016,124290,Manual,210,Salvage,White,5269
Toyota Corolla,2019,72336,Manual,171,Repaired,Black,16747
Tesla Model 3,2020,61805,Automatic,185,Salvage,Gray,24516
Ford Focus,2020,46390,Automatic,129,Salvage,Red,12609
Volkswagen Golf,2022,38472,Automatic,275,Clean Title,Red,34496
Volkswagen Golf,2024,13677,Automatic,259,Clean Title,Black,40879
Fiat Tipo,2022,32142,Manual,207,Repaired,Red,19100
Volkswagen Golf,2015,97230,Manual,176,Salvage,White,7961
Ford Focus,2024,8967,Automatic,118,Repaired,Gray,26319
Volkswagen Golf,2018,95753,Manual,286,Repaired,Gray,15896
Toyota Corolla,2016,107334,Manual,132,Clean Title,Gray,12431
Volkswagen Golf,2016,87246,Automatic,174,Minor Scratches,Red,17681
Volkswagen Golf,2015,87770,Manual,241,Minor Scratches,Blue,14220
Ford Focus,2022,27780,Automatic,182,Clean Title,Gray,30058
Tesla Model 3,2017,118064,Automatic,143,Minor Scratches,White,30625
Honda Civic,2020,42770,Automatic,127,Repaired,Red,24261
Ford Focus,2021,33920,Manual,273,Salvage,White,13204
Toyota Corolla,2018,86506,Automatic,180,Clean Title,White,18949
Toyota Corolla,2018,100016,Manual,227,Salvage,Red,8100
Honda Civic,2024,11283,Automatic,219,Clean Title,Blue,39849
Ford Focus,2015,84650,Automatic,157,Repaired,Black,11377
Tesla Model 3,2015,131720,Automatic,116,Repaired,White,23781
BMW 3 Series,2023,16560,Automatic,195,Minor Scratches,Blue,62000
Toyota Corolla,2023,22024,Automatic,100,Repaired,White,27813
Ford Focus,2022,28524,Automatic,110,Clean Title,Red,28532
Fiat Tipo,2016,96534,Automatic,139,Clean Title,Black,10660
Ford Focus,2019,52554,Automatic,172,Minor Scratches,White,21134
BMW 3 Series,2023,28344,Manual,155,Salvage,Gray,33579
Honda Civic,2016,118710,Manual,128,Salvage,Black,6910
Tesla Model 3,2020,63745,Automatic,179,Clean Title,Gray,47355
Volkswagen Golf,2020,43515,Manual,172,Minor Scratches,Black,27495
BMW 3 Series,2022,33840,Manual,280,Clean Title,Red,65636
Ford Focus,2020,64425,Automatic,244,Minor Scratches,White,20336
Ford Focus,2016,78570,Automatic,293,Salvage,Red,7760
BMW 3 Series,2023,23324,Automatic,179,Salvage,Gray,35045
Volkswagen Golf,2024,12734,Automatic,128,Minor Scratches,White,37580
Honda Civic,2019,80424,Automatic,130,Clean Title,Red,22890
Tesla Model 3,2019,85746,Automatic,206,Clean Title,Gray,44330
Tesla Model 3,2016,89064,Automatic,207,Clean Title,Blue,35433
Ford Focus,2024,14801,Automatic,114,Minor Scratches,White,30882
Fiat Tipo,2016,128205,Manual,110,Repaired,White,5086
Volkswagen Golf,2016,111753,Automatic,110,Repaired,Black,13003
Volkswagen Golf,2019,78408,Manual,173,Minor Scratches,Red,22471
Tesla Model 3,2021,38396,Automatic,176,Minor Scratches,Red,45996
BMW 3 Series,2018,86030,Manual,158,Minor Scratches,Blue,40082
Honda Civic,2020,46830,Manual,233,Salvage,Red,14320
Ford Focus,2022,24756,Manual,264,Minor Scratches,Gray,26397
BMW 3 Series,2022,30750,Automatic,160,Repaired,Blue,51648
Volkswagen Golf,2024,13344,Automatic,280,Minor Scratches,White,38214
Volkswagen Golf,2019,73614,Manual,214,Salvage,Gray,12552
Fiat Tipo,2015,102600,Manual,285,Minor Scratches,Blue,6896
Volkswagen Golf,2020,62955,Manual,127,Clean Title,Gray,27855
Ford Focus,2016,89010,Automatic,230,Clean Title,Blue,15530
Ford Focus,2016,72252,Manual,300,Clean Title,Blue,14740
BMW 3 Series,2017,112848,Manual,276,Salvage,White,19820
BMW 3 Series,2017,113920,Automatic,221,Salvage,Black,20499
Tesla Model 3,2020,71565,Automatic,196,Minor Scratches,Red,40108
Fiat Tipo,2022,37026,Manual,187,Clean Title,Black,22492
Fiat Tipo,2024,13673,Automatic,245,Minor Scratches,White,25805
Tesla Model 3,2015,99810,Automatic,110,Repaired,Blue,24762
Toyota Corolla,2020,41520,Automatic,261,Minor Scratches,Red,23572
Ford Focus,2023,28692,Automatic,295,Repaired,White,23522
Honda Civic,2015,114970,Manual,196,Repaired,Red,10137
Volkswagen Golf,2016,78363,Automatic,127,Salvage,Red,10148
Ford Focus,2018,101304,Automatic,182,Minor Scratches,Red,14447
Volkswagen Golf,2020,44855,Manual,190,Repaired,Gray,22084
Honda Civic,2023,26620,Automatic,267,Repaired,Red,29493
Honda Civic,2019,76584,Manual,190,Clean Title,Red,22301
Fiat Tipo,2022,42009,Manual,104,Repaired,Red,17475
Fiat Tipo,2024,11840,Manual,172,Minor Scratches,Blue,23829
BMW 3 Series,2021,50144,Automatic,142,Clean Title,Gray,58764
Toyota Corolla,2023,26516,Automatic,209,Repaired,Red,26747
Toyota Corolla,2018,97762,Manual,280,Clean Title,Black,16896
BMW 3 Series,2022,26010,Manual,195,Minor Scratches,Gray,58423
Volkswagen Golf,2017,94776,Automatic,111,Minor Scratches,White,18720
Toyota Corolla,2020,62620,Manual,191,Repaired,White,18651
BMW 3 Series,2016,84933,Automatic,197,Repaired,Red,34192
BMW 3 Series,2018,71211,Automatic,194,Repaired,Black,37452
BMW 3 Series,2022,26907,Manual,106,Repaired,Gray,51457
Toyota Corolla,2022,36171,Manual,109,Clean Title,Gray,29263
Ford Focus,2024,9232,Manual,241,Minor Scratches,White,28613
Toyota Corolla,2016,116244,Automatic,242,Clean Title,Gray,13848
Honda Civic,2024,14007,Automatic,196,Clean Title,Blue,40221
Fiat Tipo,2019,51384,Automatic,164,Minor Scratches,Black,17673
BMW 3 Series,2017,95392,Manual,182,Repaired,Red,33856
Tesla Model 3,2017,115128,Manual,103,Salvage,Blue,16216
BMW 3 Series,2016,94320,Manual,215,Repaired,Black,31996
Honda Civic,2019,77430,Automatic,166,Salvage,Gray,11631
Ford Focus,2018,79107,Automatic,286,Repaired,Gray,15630
Volkswagen Golf,2016,97065,Automatic,230,Repaired,Blue,14501
Ford Focus,2021,58500,Automatic,234,Minor Scratches,Gray,22604
Fiat Tipo,2018,86268,Manual,112,Repaired,White,10856
Fiat Tipo,2018,78211,Manual,179,Salvage,Red,6641
Honda Civic,2019,79746,Automatic,120,Minor Scratches,Black,22414
Volkswagen Golf,2017,81872,Manual,133,Clean Title,Black,20907
Volkswagen Golf,2022,26172,Automatic,103,Minor Scratches,Black,32508
Honda Civic,2021,56972,Automatic,221,Repaired,Red,23582
Tesla Model 3,2021,49128,Manual,259,Salvage,Black,24319
Honda Civic,2016,90153,Automatic,298,Minor Scratches,Black,16353
BMW 3 Series,2020,54045,Automatic,102,Clean Title,Gray,57447
Ford Focus,2022,25548,Automatic,178,Repaired,Black,24293
Honda Civic,2024,8206,Manual,186,Salvage,Gray,19533
Fiat Tipo,2022,30624,Automatic,229,Salvage,Black,12185
Ford Focus,2016,130779,Automatic,171,Clean Title,Black,11279
Toyota Corolla,2018,76818,Manual,165,Repaired,Gray,14477
Toyota Corolla,2017,79312,Automatic,263,Minor Scratches,Gray,16191
Ford Focus,2019,61290,Automatic,149,Minor Scratches,Blue,19095
Fiat Tipo,2017,67920,Automatic,243,Minor Scratches,Black,14265
Toyota Corolla,2018,79121,Automatic,123,Minor Scratches,Blue,18180
Volkswagen Golf,2020,53195,Automatic,120,Minor Scratches,Blue,27357
Honda Civic,2018,99113,Manual,221,Salvage,Red,9720
Tesla Model 3,2023,19470,Manual,150,Clean Title,Gray,58697
Tesla Model 3,2015,90810,Automatic,230,Salvage,White,16859
BMW 3 Series,2019,75474,Automatic,195,Salvage,Red,26519
Honda Civic,2019,54654,Manual,142,Repaired,White,20373
Tesla Model 3,2021,34512,Automatic,167,Clean Title,Red,52063
Volkswagen Golf,2023,27992,Automatic,235,Minor Scratches,Gray,33115
BMW 3 Series,2022,37086,Manual,227,Minor Scratches,White,55207
BMW 3 Series,2015,96020,Manual,250,Minor Scratches,Black,32789
Honda Civic,2016,104949,Automatic,204,Salvage,Gray,8054
Volkswagen Golf,2016,116253,Automatic,151,Salvage,Gray,8324
Fiat Tipo,2016,130536,Manual,208,Minor Scratches,Gray,5751
Tesla Model 3,2019,68832,Automatic,248,Clean Title,Black,46202
Ford Focus,2017,71176,Automatic,178,Minor Scratches,White,16791
Volkswagen Golf,2020,63270,Automatic,277,Minor Scratches,Red,25158
Fiat Tipo,2015,99590,Manual,171,Clean Title,White,7894
Volkswagen Golf,2024,11781,Automatic,109,Salvage,Blue,19560
Toyota Corolla,2024,13683,Automatic,260,Repaired,Red,29735
Volkswagen Golf,2023,22820,Automatic,161,Salvage,Blue,18979
Fiat Tipo,2020,68635,Automatic,119,Minor Scratches,White,17385
Ford Focus,2017,99272,Manual,170,Clean Title,Black,13785
BMW 3 Series,2017,67160,Manual,253,Clean Title,Red,42249
Ford Focus,2018,79506,Manual,260,Minor Scratches,Red,15768
BMW 3 Series,2015,115230,Manual,246,Clean Title,Red,33036
Toyota Corolla,2016,85059,Manual,237,Repaired,Blue,12306
Ford Focus,2020,69715,Manual,267,Clean Title,Gray,21602
Ford Focus,2021,43512,Manual,177,Clean Title,Gray,24627
Fiat Tipo,2019,86730,Manual,183,Repaired,Red,11227
Toyota Corolla,2015,92780,Manual,260,Repaired,Gray,10561
Honda Civic,2015,85920,Manual,167,Repaired,Red,12023
Toyota Corolla,2020,40265,Manual,209,Clean Title,Black,25221
BMW 3 Series,2024,8695,Manual,166,Salvage,Gray,36892
BMW 3 Series,2018,83944,Manual,247,Clean Title,Gray,44319
Ford Focus,2021,37852,Automatic,217,Minor Scratches,Black,24219
BMW 3 Series,2022,30651,Manual,181,Salvage,Blue,32843
Honda Civic,2024,14846,Manual,156,Salvage,White,18764
Toyota Corolla,2020,45785,Automatic,230,Repaired,Blue,21348
Volkswagen Golf,2018,94269,Manual,211,Salvage,Black,9951
BMW 3 Series,2016,99153,Manual,128,Repaired,Gray,30189
Fiat Tipo,2015,104510,Automatic,243,Salvage,Black,4430
Toyota Corolla,2019,77988,Manual,146,Repaired,White,16656
Toyota Corolla,2016,72243,Manual,228,Minor Scratches,Blue,14624
Fiat Tipo,2021,37984,Automatic,253,Minor Scratches,Red,20269
Honda Civic,2021,58644,Manual,190,Clean Title,Black,26666
Honda Civic,2024,10059,Manual,103,Minor Scratches,Black,34203
Tesla Model 3,2024,11492,Manual,164,Minor Scratches,Blue,55823
BMW 3 Series,2023,17336,Manual,269,Repaired,Blue,53501
Ford Focus,2023,26134,Manual,207,Clean Title,Red,29430
Tesla Model 3,2017,119696,Automatic,208,Minor Scratches,Blue,30838
BMW 3 Series,2018,81158,Automatic,173,Repaired,Red,36480
Toyota Corolla,2015,92640,Automatic,113,Minor Scratches,White,12778
Ford Focus,2023,20614,Manual,249,Minor Scratches,Gray,27140
Tesla Model 3,2017,97744,Manual,278,Repaired,Black,27768
BMW 3 Series,2018,102662,Manual,251,Repaired,Gray,36536
Toyota Corolla,2020,52015,Automatic,266,Minor Scratches,Gray,23630
Tesla Model 3,2021,37148,Automatic,105,Salvage,Blue,25760
Volkswagen Golf,2019,73920,Manual,261,Repaired,Black,20379
Tesla Model 3,2021,57732,Manual,165,Clean Title,Blue,50522
BMW 3 Series,2017,106072,Automatic,277,Repaired,White,33746
Ford Focus,2023,17902,Manual,253,Minor Scratches,Gray,27442
Tesla Model 3,2021,34156,Automatic,208,Clean Title,White,53369
Honda Civic,2023,22328,Automatic,110,Minor Scratches,Red,33848
BMW 3 Series,2023,25338,Manual,201,Repaired,Blue,50628
Honda Civic,2023,20962,Manual,182,Salvage,Gray,17451
Tesla Model 3,2016,95265,Automatic,174,Clean Title,Red,34040
BMW 3 Series,2018,97055,Manual,120,Salvage,White,21245
Ford Focus,2017,88040,Manual,120,Salvage,Blue,7403
Ford Focus,2019,64554,Automatic,142,Clean Title,Red,21608
Ford Focus,2015,116850,Automatic,181,Clean Title,White,10403
Fiat Tipo,2016,82791,Manual,261,Minor Scratches,Gray,9958
Honda Civic,2022,33987,Automatic,277,Minor Scratches,Gray,30545
BMW 3 Series,2021,52780,Automatic,116,Minor Scratches,Gray,55857
Tesla Model 3,2024,8581,Automatic,231,Salvage,Blue,32449
BMW 3 Series,2016,95733,Automatic,238,Salvage,Black,19913
Toyota Corolla,2021,54624,Manual,229,Salvage,Black,12759
Honda Civic,2018,91854,Manual,249,Clean Title,Black,19603
Honda Civic,2016,130221,Manual,249,Repaired,Black,9953
Honda Civic,2015,105260,Automatic,185,Clean Title,Red,14801
Tesla Model 3,2018,86954,Automatic,115,Clean Title,Gray,41643
Honda Civic,2023,22900,Automatic,144,Salvage,Red,18736
Fiat Tipo,2022,27360,Manual,162,Salvage,Blue,11643
Toyota Corolla,2019,57726,Manual,173,Clean Title,Blue,22354
BMW 3 Series,2018,63252,Manual,146,Clean Title,Gray,47210
Tesla Model 3,2017,75784,Manual,115,Repaired,White,30975
Fiat Tipo,2024,11483,Automatic,235,Repaired,Blue,24424
Honda Civic,2024,9545,Automatic,206,Clean Title,Blue,38582
Tesla Model 3,2021,56416,Manual,224,Minor Scratches,Blue,46615
Volkswagen Golf,2020,42225,Manual,145,Salvage,Red,14978
Fiat Tipo,2016,130176,Manual,280,Clean Title,Gray,6423
Toyota Corolla,2019,66588,Automatic,130,Minor Scratches,Black,19645
Volkswagen Golf,2018,82768,Manual,219,Clean Title,White,20936
BMW 3 Series,2017,109488,Automatic,272,Minor Scratches,White,39137
Fiat Tipo,2020,65835,Manual,187,Clean Title,Red,18192
Toyota Corolla,2023,20932,Automatic,108,Repaired,Black,27340
Fiat Tipo,2024,13311,Automatic,179,Minor Scratches,Gray,24848
Toyota Corolla,2016,90261,Automatic,110,Repaired,Gray,12584
BMW 3 Series,2015,127760,Manual,216,Repaired,Blue,25509
Fiat Tipo,2020,42525,Manual,231,Minor Scratches,Blue,17604
Volkswagen Golf,2017,94704,Manual,193,Clean Title,White,18965
Fiat Tipo,2023,18346,Manual,271,Repaired,Gray,19813
Honda Civic,2015,106810,Automatic,148,Clean Title,Blue,14753
BMW 3 Series,2024,10413,Automatic,152,Clean Title,Black,69674
Toyota Corolla,2022,25107,Manual,177,Minor Scratches,Black,26904
Ford Focus,2016,81369,Automatic,299,Salvage,Blue,7565
Toyota Corolla,2016,118098,Automatic,101,Minor Scratches,Gray,11943
Volkswagen Golf,2024,11949,Automatic,251,Repaired,Red,31184
Tesla Model 3,2018,93156,Automatic,248,Clean Title,Black,40547
Toyota Corolla,2015,93170,Manual,127,Clean Title,Gray,12059
Volkswagen Golf,2015,108790,Automatic,273,Minor Scratches,Blue,14118
Honda Civic,2017,65920,Manual,190,Salvage,White,10087
Volkswagen Golf,2019,73044,Automatic,275,Repaired,Blue,21647
Toyota Corolla,2022,34926,Manual,138,Clean Title,Blue,28818
Ford Focus,2015,141240,Manual,248,Repaired,Red,5512
Fiat Tipo,2024,13835,Automatic,284,Minor Scratches,White,24805
Ford Focus,2020,73070,Automatic,288,Clean Title,Red,22848
Tesla Model 3,2016,72225,Automatic,200,Minor Scratches,Blue,33857
Honda Civic,2022,37974,Manual,251,Salvage,Blue,15741
Honda Civic,2022,38418,Manual,154,Minor Scratches,Gray,28584
Volkswagen Golf,2022,44742,Automatic,116,Salvage,White,17713
Honda Civic,2021,58736,Automatic,253,Salvage,Black,15237
Honda Civic,2017,77896,Manual,230,Salvage,Black,9684
Toyota Corolla,2018,80192,Manual,191,Minor Scratches,Black,17091
Tesla Model 3,2021,43672,Automatic,139,Clean Title,Black,51721
Tesla Model 3,2022,44088,Automatic,180,Repaired,Gray,43275
Fiat Tipo,2018,101290,Automatic,228,Repaired,White,9913
Volkswagen Golf,2024,13697,Manual,231,Salvage,White,18781
Toyota Corolla,2024,11487,Automatic,248,Minor Scratches,White,32597
Ford Focus,2021,36440,Manual,234,Repaired,White,20824
Volkswagen Golf,2018,104013,Automatic,298,Clean Title,Red,20392
Ford Focus,2024,11825,Automatic,166,Repaired,Gray,26716
Fiat Tipo,2024,13210,Manual,292,Minor Scratches,Red,24404
Tesla Model 3,2017,67528,Automatic,206,Repaired,Red,31888
Toyota Corolla,2017,110776,Manual,156,Repaired,Red,10772
BMW 3 Series,2015,134060,Automatic,271,Minor Scratches,Red,30597
Fiat Tipo,2020,61585,Automatic,166,Repaired,Gray,15506
Tesla Model 3,2015,90220,Automatic,187,Clean Title,Red,31814
Honda Civic,2016,86211,Manual,200,Minor Scratches,Black,15479
Ford Focus,2018,81011,Manual,267,Salvage,Red,8329
BMW 3 Series,2017,94936,Manual,284,Repaired,Blue,33424
BMW 3 Series,2024,9925,Manual,120,Salvage,Black,35611
Volkswagen Golf,2024,14552,Automatic,269,Repaired,Gray,32443
Ford Focus,2015,82830,Automatic,145,Salvage,Red,7180
BMW 3 Series,2015,81250,Automatic,103,Clean Title,Black,36575
Tesla Model 3,2021,53064,Automatic,247,Minor Scratches,Gray,47838
Honda Civic,2016,124353,Manual,157,Minor Scratches,White,11951
BMW 3 Series,2017,109936,Automatic,292,Minor Scratches,Blue,36477
Tesla Model 3,2020,46980,Automatic,252,Minor Scratches,Gray,43935
Ford Focus,2016,113526,Manual,280,Repaired,Blue,8978
Tesla Model 3,2021,37912,Manual,118,Clean Title,Gray,51320
Honda Civic,2022,37170,Automatic,191,Clean Title,Black,31835
BMW 3 Series,2017,107704,Manual,137,Salvage,White,20556
Tesla Model 3,2021,48644,Manual,164,Clean Title,Blue,51631
Tesla Model 3,2022,31590,Manual,232,Repaired,White,45311
Volkswagen Golf,2023,20040,Manual,153,Salvage,Gray,17907
Tesla Model 3,2019,83382,Automatic,230,Repaired,White,35677
Tesla Model 3,2018,80353,Manual,121,Salvage,Red,19715
Volkswagen Golf,2019,73314,Automatic,160,Repaired,Black,20452
Honda Civic,2016,105633,Manual,168,Clean Title,White,14341
Honda Civic,2015,113280,Automatic,191,Repaired,Black,11723
Ford Focus,2023,23668,Automatic,207,Minor Scratches,White,28730
Ford Focus,2018,84714,Automatic,189,Repaired,Red,14973
Fiat Tipo,2015,139540,Automatic,235,Minor Scratches,Gray,4848
Honda Civic,2021,42120,Automatic,232,Salvage,Blue,15281
Honda Civic,2024,12759,Manual,217,Repaired,Black,30661
Fiat Tipo,2015,86670,Manual,191,Salvage,Red,4508
Fiat Tipo,2021,32076,Automatic,181,Repaired,Gray,18594
Volkswagen Golf,2023,17184,Manual,220,Salvage,Red,18429
Volkswagen Golf,2015,127050,Automatic,218,Minor Scratches,Blue,12684
BMW 3 Series,2016,113148,Manual,236,Minor Scratches,Red,32023
Volkswagen Golf,2019,59028,Manual,287,Minor Scratches,Black,22663
Toyota Corolla,2022,39054,Manual,243,Minor Scratches,Black,26946
Fiat Tipo,2021,48824,Automatic,284,Minor Scratches,Red,18898
Fiat Tipo,2017,119808,Automatic,261,Salvage,Blue,5016
BMW 3 Series,2024,10813,Automatic,282,Clean Title,Gray,70157
Fiat Tipo,2016,111699,Automatic,118,Minor Scratches,Black,8730
Ford Focus,2024,10807,Manual,216,Minor Scratches,White,27849
BMW 3 Series,2022,32211,Manual,285,Salvage,Red,29870
Honda Civic,2022,36375,Manual,162,Minor Scratches,White,27917
Volkswagen Golf,2017,94192,Manual,116,Salvage,Red,9482
Fiat Tipo,2017,92432,Manual,249,Repaired,Gray,8582
Ford Focus,2015,147930,Manual,298,Salvage,Black,2982
Tesla Model 3,2023,17940,Manual,273,Repaired,Blue,46531
Volkswagen Golf,2020,54380,Manual,183,Minor Scratches,Black,24748
Tesla Model 3,2024,14117,Automatic,262,Salvage,Blue,31544
Ford Focus,2023,19806,Automatic,219,Clean Title,Gray,32172
Tesla Model 3,2020,67095,Automatic,143,Salvage,White,23279
BMW 3 Series,2020,61860,Manual,263,Minor Scratches,White,48509
Tesla Model 3,2024,10424,Automatic,245,Minor Scratches,White,55442
Fiat Tipo,2015,110520,Manual,299,Salvage,Gray,3472
Fiat Tipo,2024,14035,Manual,105,Salvage,Red,13585
Honda Civic,2016,102222,Automatic,134,Repaired,White,13215
BMW 3 Series,2023,25388,Automatic,203,Salvage,White,33925
Volkswagen Golf,2023,26134,Automatic,278,Repaired,Red,31162
Honda Civic,2017,111032,Manual,159,Salvage,Red,8441
BMW 3 Series,2017,91552,Manual,257,Repaired,Red,32769
Ford Focus,2022,33015,Manual,196,Minor Scratches,Blue,23912
Honda Civic,2021,32664,Automatic,258,Salvage,Gray,15614
Ford Focus,2024,9522,Manual,238,Clean Title,Blue,31978
Volkswagen Golf,2015,99920,Automatic,145,Clean Title,White,16408
Volkswagen Golf,2016,132003,Manual,215,Clean Title,Blue,12965
Volkswagen Golf,2021,43776,Manual,199,Repaired,Black,24371
Fiat Tipo,2024,10852,Manual,222,Repaired,Gray,22207
BMW 3 Series,2024,9574,Automatic,223,Salvage,White,36324
Tesla Model 3,2021,45220,Manual,251,Minor Scratches,White,44869
BMW 3 Series,2024,14122,Manual,249,Clean Title,White,71113
Toyota Corolla,2015,107050,Manual,215,Clean Title,White,10873
Fiat Tipo,2023,23204,Manual,236,Repaired,White,19830
Honda Civic,2016,131922,Automatic,180,Minor Scratches,Black,12306
Fiat Tipo,2017,83304,Automatic,219,Minor Scratches,Red,12395
BMW 3 Series,2023,21828,Manual,227,Clean Title,Black,64731
Volkswagen Golf,2018,66605,Automatic,260,Salvage,Blue,12025
Volkswagen Golf,2015,97980,Automatic,237,Minor Scratches,Red,15457
BMW 3 Series,2022,38241,Automatic,158,Salvage,White,32819
Toyota Corolla,2017,68512,Automatic,285,Repaired,White,15093
BMW 3 Series,2021,56124,Manual,175,Minor Scratches,Blue,53962
BMW 3 Series,2020,74535,Manual,117,Minor Scratches,Red,47850
Honda Civic,2023,18476,Manual,265,Minor Scratches,Blue,30297
Toyota Corolla,2015,123020,Manual,274,Salvage,Blue,5076
Toyota Corolla,2017,105088,Manual,112,Clean Title,Red,14467
Tesla Model 3,2024,11548,Manual,142,Repaired,Blue,51495
Tesla Model 3,2024,8756,Manual,144,Clean Title,Red,59364
Toyota Corolla,2018,93849,Manual,161,Repaired,Black,13203
Ford Focus,2020,56015,Automatic,277,Clean Title,Black,24719
BMW 3 Series,2018,58485,Automatic,198,Repaired,White,41016
Ford Focus,2024,14000,Manual,109,Clean Title,Blue,30770
Tesla Model 3,2018,78631,Automatic,248,Minor Scratches,Blue,37173
Toyota Corolla,2021,36608,Manual,300,Minor Scratches,Blue,24304
Ford Focus,2023,19004,Automatic,284,Repaired,Blue,25111
Fiat Tipo,2020,63940,Automatic,134,Minor Scratches,Black,17765
Toyota Corolla,2016,103509,Manual,215,Salvage,Blue,6592
BMW 3 Series,2016,133110,Manual,274,Salvage,Red,16696
Toyota Corolla,2016,81090,Manual,261,Clean Title,Blue,16102
Toyota Corolla,2015,124280,Automatic,254,Repaired,Blue,8577
Ford Focus,2021,44780,Manual,206,Salvage,Gray,11940
BMW 3 Series,2021,53904,Manual,150,Repaired,Blue,46645
Toyota Corolla,2021,34900,Automatic,155,Clean Title,Black,29741
Honda Civic,2018,103117,Manual,234,Clean Title,Gray,19194
Ford Focus,2016,101439,Automatic,110,Repaired,White,10601
Tesla Model 3,2019,84312,Automatic,293,Clean Title,Blue,41341
Honda Civic,2019,55332,Automatic,127,Clean Title,Blue,26909
Fiat Tipo,2021,53288,Automatic,107,Salvage,White,10606
Volkswagen Golf,2017,100224,Automatic,294,Salvage,Black,10138
Ford Focus,2019,55662,Automatic,174,Minor Scratches,Black,19825
Honda Civic,2023,27130,Automatic,240,Salvage,Gray,18266
Volkswagen Golf,2022,25596,Automatic,115,Repaired,White,27290
Toyota Corolla,2020,65910,Manual,176,Clean Title,Blue,23920
Fiat Tipo,2022,31722,Manual,213,Clean Title,Black,23465
Volkswagen Golf,2017,74176,Manual,145,Salvage,Black,10169
Toyota Corolla,2015,114540,Manual,249,Salvage,Gray,5094
Ford Focus,2023,24194,Automatic,104,Minor Scratches,Gray,28591
BMW 3 Series,2016,113004,Automatic,170,Minor Scratches,White,35276
Volkswagen Golf,2016,106137,Manual,276,Minor Scratches,Black,14290
Fiat Tipo,2016,73611,Automatic,272,Repaired,Blue,10352
Honda Civic,2020,61875,Manual,183,Clean Title,Gray,26315
Tesla Model 3,2015,106330,Automatic,139,Clean Title,White,31587
Ford Focus,2024,8910,Manual,193,Repaired,Red,27366
Toyota Corolla,2021,34636,Automatic,241,Repaired,White,22114
Fiat Tipo,2018,102830,Automatic,112,Salvage,Blue,6341
Fiat Tipo,2016,98973,Automatic,193,Minor Scratches,Blue,10158
BMW 3 Series,2017,68936,Manual,255,Salvage,White,22673
Tesla Model 3,2021,43628,Automatic,225,Repaired,White,40115
Volkswagen Golf,2017,98456,Automatic,154,Salvage,White,10227
Volkswagen Golf,2017,106968,Automatic,229,Repaired,Red,14638
Tesla Model 3,2017,84416,Automatic,115,Clean Title,White,39197
Fiat Tipo,2022,41028,Manual,255,Minor Scratches,Blue,19766
Volkswagen Golf,2016,107253,Automatic,190,Clean Title,Blue,16609
Fiat Tipo,2016,94356,Manual,112,Salvage,Red,5120
